date,equity
2018-08-28,1.0
2018-08-29,1.0105984141134925
2018-08-30,1.004193344211242
2018-08-31,1.005352590413655
2018-09-01,1.0082182105352107
2018-09-02,1.0397546618887086
2018-09-03,1.0251115259143668
2018-09-04,1.0213495804448884
2018-09-05,1.0268770122106792
2018-09-06,0.9409421996356567
2018-09-07,0.9221313584723735
2018-09-08,0.9539282658473939
2018-09-09,1.0264013855620706
2018-09-10,1.000613295853354
2018-09-11,1.0061378005626045
2018-09-12,1.0459040094173544
2018-09-13,1.0181547723505748
2018-09-14,0.9572697405991873
2018-09-15,0.9567590972795944
2018-09-16,0.9567590972795944
2018-09-17,0.9567590972795944
2018-09-18,0.9538621168427789
2018-09-19,0.9475156472793698
2018-09-20,0.9447913373381325
2018-09-21,0.9342029493945146
2018-09-22,0.9065479034120248
2018-09-23,0.9066406998856572
2018-09-24,0.9049518040655415
2018-09-25,0.861605541335331
2018-09-26,0.8286980240014555
2018-09-27,0.8286980240014555
2018-09-28,0.8308990604158333
2018-09-29,0.816734395597339
2018-09-30,0.8169223424475262
2018-10-01,0.8220407649541908
2018-10-02,0.8183107203578552
2018-10-03,0.797656917592038
2018-10-04,0.7818489381690349
2018-10-05,0.7876648887572676
2018-10-06,0.7746771619159736
2018-10-07,0.7770814081513014
2018-10-08,0.7752120189458138
2018-10-09,0.7902371825086274
2018-10-10,0.7738271524836832
2018-10-11,0.720798942107628
2018-10-12,0.7213268498333232
2018-10-13,0.7161227621485377
2018-10-14,0.7074111621446285
2018-10-15,0.6576168596205471
2018-10-16,0.647810121823003
2018-10-17,0.6378804250158769
2018-10-18,0.6364015299051096
2018-10-19,0.649350598563105
2018-10-20,0.6468448112329946
2018-10-21,0.6414431139944334
2018-10-22,0.6418116423829999
2018-10-23,0.6466730988324804
2018-10-24,0.6435583977203748
2018-10-25,0.6527286718724412
2018-10-26,0.6521538382267958
2018-10-27,0.6502021830045678
2018-10-28,0.6503857256013734
2018-10-29,0.6508418072210445
2018-10-30,0.6688245943216551
2018-10-31,0.671227632534369
2018-11-01,0.6681005454866173
2018-11-02,0.6608727264959491
2018-11-03,0.6601921748435233
2018-11-04,0.6588785631318824
2018-11-05,0.6537760796077183
2018-11-06,0.6553447641316993
2018-11-07,0.6696027086169917
2018-11-08,0.6603815059660655
2018-11-09,0.6575944780738455
2018-11-10,0.6525573670485216
2018-11-11,0.6521124352559585
2018-11-12,0.649266255735635
2018-11-13,0.6491596649615742
2018-11-14,0.6487419867676836
2018-11-15,0.7274344786556266
2018-11-16,0.7294446319690926
2018-11-17,0.7460918482610972
2018-11-18,0.7349020068053759
2018-11-19,0.7665620438886105
2018-11-20,0.8602471673183271
2018-11-21,0.9060206028827105
2018-11-22,0.8807328877472247
2018-11-23,0.9310190012464857
2018-11-24,0.9241021911566466
2018-11-25,1.0281712996296035
2018-11-26,0.9759616173702235
2018-11-27,1.0189720739570072
2018-11-28,0.9820476622709992
2018-11-29,0.9545328873603305
2018-11-30,0.9536069607302713
2018-12-01,0.9508024826069958
2018-12-02,0.9497277885558056
2018-12-03,0.9497277885558056
2018-12-04,0.9857786516624503
2018-12-05,0.9698820379287022
2018-12-06,0.995366563077006
2018-12-07,1.1208971426050423
2018-12-08,1.1055210516315082
2018-12-09,1.1149060246907463
2018-12-10,1.0866066795903575
2018-12-11,1.1076836199049744
2018-12-12,1.13124310185456
2018-12-13,1.1277714460568486
2018-12-14,1.1532814491011385
2018-12-15,1.1678467326386444
2018-12-16,1.156849205324696
2018-12-17,1.1651651971378107
2018-12-18,1.1041709548020435
2018-12-19,1.1041709548020435
2018-12-20,1.0701494431407714
2018-12-21,1.162955061853941
2018-12-22,1.1254033673463864
2018-12-23,1.2639786193498879
2018-12-24,1.391267014000883
2018-12-25,1.2267510382927458
2018-12-26,1.2568955955852026
2018-12-27,1.2221099553363264
2018-12-28,1.2221843905866487
2018-12-29,1.1738992605029186
2018-12-30,1.1870617360128108
2018-12-31,1.169897223987795
2019-01-01,1.1646385574736975
2019-01-02,1.191409950636375
2019-01-03,1.2408839750544634
2019-01-04,1.239514337580103
2019-01-05,1.2602939390078618
2019-01-06,1.2197436312320884
2019-01-07,1.2659890524919613
2019-01-08,1.2291939402445162
2019-01-09,1.2342781032872638
2019-01-10,1.2345529374140243
2019-01-11,1.214804324248879
2019-01-12,1.2159758962508735
2019-01-13,1.2279360981216374
2019-01-14,1.2723568697829157
2019-01-15,1.2045691177409381
2019-01-16,1.2396922084550899
2019-01-17,1.2364495651188283
2019-01-18,1.2284362969195537
2019-01-19,1.229810486590302
2019-01-20,1.2113282504109586
